code_postal,bureau_postal,localite,delegation,gouvernorat,region,aliases,source,confidence
4150,METHANIA,METHANIA,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4135,MEZRANE,MEZRANE,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4166,OUED ZBIB,OUED ZBIB,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4155,TLET,TLET,AJIM,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,BEN GUERDANE,BEN GUERDANE,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,BOU HAMED,BOU HAMED,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,CHAREB ERRAJEL,CHAREB ERRAJEL,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4163,CHEHBANIA,CHEHBANIA,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,CITE EL BAATH,CITE EL BAATH,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,CITE ENNOUR,CITE ENNOUR,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,CITE ESSOUROUR,CITE ESSOUROUR,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,CITE POPULAIRE,CITE POPULAIRE,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
4160,EL MAAMRATE,EL MAAMRATE,BEN GUERDANE,MEDENINE,SUD EST,,POSTE_TN_PUBLIC_LIST,HIGH
